periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,Verano,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.020999999849999985,0.048744916915893555,1,14,20,0.7,-71.40980426,-32.92284453
1980-2000,Verano,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.01361110872916668,0.4440436363220215,0,16,20,0.8,-71.42446573,-32.92570783
1980-2000,Verano,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.039090911507575724,0.07850146293640137,0,16,20,0.8,-71.43890726,-32.93143209
1980-2000,Verano,SHAC_216,5426019,LAJARILLAS,0.08906250075,1,0,3,20,0.15,-71.46630064,-32.92369858
1980-2000,Verano,SHAC_216,5426021,TABOLANGO (1),0.07233333154999999,3.7539005279541016e-4,1,16,20,0.8,-71.36176478,-32.92720664
1980-2000,Verano,SHAC_216,5426023,TABOLANGO (2),-0.4974999725,1,0,3,20,0.15,-71.36605871,-32.93105693
1980-2000,Verano,SHAC_216,5428005,CON CON,0.2876983955734126,0.013277530670166016,1,16,20,0.8,-71.47398601,-32.92593612
1980-2000,Verano,SHAC_216,5428006,CON CON,0.080000008785714255,0.11328721046447754,0,15,20,0.75,-71.47217409,-32.92383496
1980-2000,Verano,SHAC_216,5428008,CON CON,0.3072222290694444,0.07910919189453125,0,16,20,0.8,-71.49086356,-32.92386042
1980-2000,Verano,SHAC_216,5428010,LAJARILLAS,-0.020000040749999948,0.5480055809020996,0,7,20,0.35,-71.46550599,-32.92549965
1980-2000,Verano,SHAC_217,5410010,FUNDO LA ESPERANZA,-0.07666699104166597,0.7071142196655273,0,6,20,0.3,-70.61877795,-32.82246369
1980-2000,Verano,SHAC_217,5410011,FUNDO LAS PENAS,1.3521428785714298,0.04909801483154297,1,10,20,0.5,-70.6532793,-32.79706589
1980-2000,Verano,SHAC_217,5410014,MISION DE MARIA,1.4830302618181816,0.0015392303466796875,1,15,20,0.75,-70.68086565,-32.80406714
1980-2000,Verano,SHAC_217,5410015,FUNDO LAS VIÑAS,1.086999957,0.001845717430114746,1,11,20,0.55,-70.6726185,-32.79366137
1980-2000,Verano,SHAC_217,5410017,FUNDO LAS MERCEDES,1.4433747286875007,7.79271125793457e-4,1,12,20,0.6,-70.64294187,-32.84634701
1980-2000,Verano,SHAC_217,5410018,FUNDO LA QUIMERA,1.143333435833333,2.5022029876708984e-4,1,15,20,0.75,-70.68087768,-32.80413913
1980-2000,Verano,SHAC_217,5410019,FUNDO LOS PINOS,1.7984166304166664,0.08647119998931885,0,12,20,0.6,-70.66409096,-32.78070632
1980-2000,Verano,SHAC_217,5410020,FUNDO LOS CASTAÑOS,1.695833046666666,0.018741130828857422,1,8,20,0.4,-70.69553787,-32.76236364
1980-2000,Verano,SHAC_217,5410021,FUNDO LOS MAITENES,0.8794169915000006,0.011174798011779785,1,12,20,0.6,-70.67754628,-32.83996231
1980-2000,Verano,SHAC_217,5414007,EL ASIENTO,1.5568332671666667,0.1524062156677246,0,10,20,0.5,-70.73211114,-32.73550971
1980-2000,Verano,SHAC_217,5415008,PERFIL SAN FELIPE,0.2035000086,0.008594989776611328,1,14,20,0.7,-70.73392996,-32.73630529
1980-2000,Verano,SHAC_218,5420009,FUNDO SAN ROQUE,0.021333344799999966,0.24372220039367676,0,12,20,0.6,-70.86215186,-32.79265447
1980-2000,Verano,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-0.030138810347222135,0.901538610458374,0,8,20,0.4,-71.02547156,-32.82884349
1980-2000,Verano,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.029499995699999993,0.01179349422454834,1,14,20,0.7,-70.82913475,-32.77221762
1980-2000,Verano,SHAC_219,5420007,HIJUELA PRINCIPAL,0.07000002401190475,0.12720370292663574,0,13,20,0.65,-70.80895258,-32.75661954
1980-2000,Verano,SHAC_220,5423014,FUNDO FLORENCE,0.035277781129629635,0.3480825424194336,0,9,20,0.45,-71.1212261,-32.83946724
1980-2000,Verano,SHAC_220,5423015,RABUCO (1),0.35374996062499997,0.4742743968963623,0,10,20,0.5,-71.10740834,-32.8731217
1980-2000,Verano,SHAC_220,5423016,PARCELA 5,0.09749999975,0.0626981258392334,0,14,20,0.7,-71.20547884,-32.79716832
1980-2000,Verano,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),0.015777775977777787,0.15074968338012695,0,15,20,0.75,-71.14548902,-32.82405655
1980-2000,Verano,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,0.019285715785714284,0.04776120185852051,1,15,20,0.75,-71.05552522,-32.81523187
1980-2000,Verano,SHAC_220,5423019,POZO RABUCO (2),0.006388882819444497,0.05253493785858154,0,15,20,0.75,-71.11569622,-32.86077133
1980-2000,Verano,SHAC_220,5423020,FUNDO ESPERANZA,0.025000015833333517,0.8266658782958984,0,14,20,0.7,-71.10214426,-32.85383952
1980-2000,Verano,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.02181818272727272,0.019872307777404785,1,15,20,0.75,-71.15491881,-32.81383945
1980-2000,Verano,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.023148148148148154,0.01753067970275879,1,15,20,0.75,-71.08206483,-32.82806788
1980-2000,Verano,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.028749992500000002,0.042208075523376465,1,15,20,0.75,-71.146715,-32.80664879
1980-2000,Verano,SHAC_220,5424006,PUCALAN DE NOGALES,0.021111110666666672,0.32442355155944824,0,14,20,0.7,-71.19913908,-32.71654211
1980-2000,Verano,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.09468748522916672,0.22413420677185059,0,16,20,0.8,-71.19910174,-32.7167592
1980-2000,Verano,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.015500003133333306,0.3810744285583496,0,14,20,0.7,-71.19693963,-32.69166388
1980-2000,Verano,SHAC_220,5424010,FUNDO EL CARMEN,-4.444446666666657e-4,1,0,14,20,0.7,-71.17176756,-32.76189317
1980-2000,Verano,SHAC_220,5424012,CONCHALI,0.08833333646666663,0.08647119998931885,0,12,20,0.6,-71.15662562,-32.79431312
1980-2000,Verano,SHAC_220,5425006,PARCELA SAN ANTONIO,0.03000000116666668,0.4284803867340088,0,15,20,0.75,-71.20516138,-32.79858071
1980-2000,Verano,SHAC_220,5427010,A.P. OLMUE,0.11183980893073592,0.01648867130279541,1,9,20,0.45,-71.11547512,-32.82940126
1980-2000,Verano,SHAC_221,5425004,CALLEJON ZARAVIA,0.11500013000000076,0.17530810832977295,0,9,20,0.45,-71.22723603,-32.81845292
1980-2000,Verano,SHAC_221,5425005,CALLE SANTA MARIA,0.09518518273148145,0.09950876235961914,0,13,20,0.65,-71.22882185,-32.83661357
1980-2000,Verano,SHAC_221,5426005,FUNDO ESMERALDA (1),-0.0011904750714285697,0.9211586713790894,0,15,20,0.75,-71.25657172,-32.91750049
1980-2000,Verano,SHAC_221,5426006,FUNDO ESMERALDA (2),0.007833333833333322,0.6206907033920288,0,15,20,0.75,-71.25652012,-32.91757356
1980-2000,Verano,SHAC_221,5426007,FUNDO EL PROGRESO,0.024444444955555554,0.0626981258392334,0,14,20,0.7,-71.22865304,-32.79736207
1980-2000,Verano,SHAC_221,5426008,FUNDO SAN ANTONIO,0.31166664750000006,0.020044684410095215,1,10,20,0.5,-71.22861395,-32.79750705
1980-2000,Verano,SHAC_221,5426009,ASENTAMIENTO EL CAJON,-0.049696972878787896,0.06676224619150162,0,15,20,0.75,-71.26840097,-32.93819802
1980-2000,Verano,SHAC_221,5426011,FUNDO ESMERALDA (3),0.01939393942424242,0.016006112098693848,1,14,20,0.7,-71.31049787,-32.90717275
1980-2000,Verano,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,0.0740000009,5.320310592651367e-4,1,15,20,0.75,-71.20391021,-32.8741272
1980-2000,Verano,SHAC_221,5426015,PARCELA 12 LA CRUZ,0.01874999699999999,0.15074968338012695,0,15,20,0.75,-71.2046332,-32.8463486
1980-2000,Verano,SHAC_221,5426016,SAN ISIDRO PUENTE,0.02999997149999989,0.04776120185852051,1,15,20,0.75,-71.24692776,-32.90183931
1980-2000,Verano,SHAC_221,5426020,LAS CRUZADAS,0.01662498414999994,0.5829505920410156,0,13,20,0.65,-71.29507,-32.93648442
1980-2000,Verano,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,-0.004166668583333322,0.7425568103790283,0,14,20,0.7,-71.22095055,-32.90606406
1980-2000,Verano,SHAC_222,5427011,FUNDO EL ROCIO,0.09305560577777813,0.2514522075653076,0,9,20,0.45,-71.24191508,-33.02675085
1980-2000,Verano,SHAC_222,5427012,SAN CARLOS PELUMPEN,0.08716666698333325,1,0,5,20,0.25,-71.190709,-33.01443184
1980-2000,Verano,SHAC_223,5422003,A.P. LLAY LLAY (1),-0.041250002552083345,0.1926162838935852,0,12,20,0.6,-70.96017932,-32.84360942
