periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),2.3884179442904245e-5,0.008717725496660049,0.06956911087036133,0,18,20,0.9,-71.40980426,-32.92284453
1980-2000,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),4.801092798353914e-5,0.017523988713991787,0.003807544708251953,1,18,20,0.9,-71.42446573,-32.92570783
1980-2000,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),6.516711015345806e-5,0.02378599520601219,5.1975250244140625e-5,1,18,20,0.9,-71.43890726,-32.93143209
1980-2000,SHAC_216,5426019,LAJARILLAS,1.892059965880894e-4,0.06906018875465264,0.18197119235992432,0,5,20,0.25,-71.46630064,-32.92369858
1980-2000,SHAC_216,5426021,TABOLANGO (1),1.2285010319410314e-4,0.04484028766584765,0,1,18,20,0.9,-71.36176478,-32.92720664
1980-2000,SHAC_216,5426023,TABOLANGO (2),-1.0030649595987744e-4,-0.036611871025355264,0.5745421051979065,0,6,20,0.3,-71.36605871,-32.93105693
1980-2000,SHAC_216,5428005,CON CON,7.400184261538646e-4,0.2701067255461606,0,1,18,20,0.9,-71.47398601,-32.92593612
1980-2000,SHAC_216,5428006,CON CON,1.4857615146512588e-4,0.05423029528477095,0,1,18,20,0.9,-71.47217409,-32.92383496
1980-2000,SHAC_216,5428008,CON CON,7.71059296642206e-4,0.28143664327440515,0,1,18,20,0.9,-71.49086356,-32.92386042
1980-2000,SHAC_216,5428010,LAJARILLAS,2.896040648502167e-5,0.01057054836703291,0.4257321357727051,0,11,20,0.55,-71.46550599,-32.92549965
1980-2000,SHAC_217,5410010,FUNDO LA ESPERANZA,0.0010781398516320473,0.39352104584569725,0.039487481117248535,1,13,20,0.65,-70.61877795,-32.82246369
1980-2000,SHAC_217,5410011,FUNDO LAS PENAS,0.0017320061690217878,0.6321822516929525,8.13603401184082e-4,1,16,20,0.8,-70.6532793,-32.79706589
1980-2000,SHAC_217,5410014,MISION DE MARIA,0.0029411764705882353,1.0735294117647058,0,1,17,20,0.85,-70.68086565,-32.80406714
1980-2000,SHAC_217,5410015,FUNDO LAS VIÑAS,0.0019483335844899,0.7111417583388135,0,1,16,20,0.8,-70.6726185,-32.79366137
1980-2000,SHAC_217,5410017,FUNDO LAS MERCEDES,0.002740358883127125,1.0002309923414006,0,1,17,20,0.85,-70.64294187,-32.84634701
1980-2000,SHAC_217,5410018,FUNDO LA QUIMERA,0.0022269305956287887,0.8128296674045079,0,1,18,20,0.9,-70.68087768,-32.80413913
1980-2000,SHAC_217,5410019,FUNDO LOS PINOS,0.002198547658595642,0.8024698953874093,0,1,17,20,0.85,-70.66409096,-32.78070632
1980-2000,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.002065996800573888,0.7540888322094691,1.0228157043457031e-4,1,14,20,0.7,-70.69553787,-32.76236364
1980-2000,SHAC_217,5410021,FUNDO LOS MAITENES,0.0023929226955762962,0.8734167838853482,0,1,16,20,0.8,-70.67754628,-32.83996231
1980-2000,SHAC_217,5414007,EL ASIENTO,0.003989060792108214,1.4560071891194981,0,1,16,20,0.8,-70.73211114,-32.73550971
1980-2000,SHAC_217,5415008,PERFIL SAN FELIPE,5.529925283539951e-4,0.2018422728492082,0,1,18,20,0.9,-70.73392996,-32.73630529
1980-2000,SHAC_218,5420009,FUNDO SAN ROQUE,6.737300816744732e-5,0.02459114798111827,0.004457592964172363,1,15,20,0.75,-70.86215186,-32.79265447
1980-2000,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-2.0272429268364473e-4,-0.07399436682953033,0.20445042848587036,0,12,20,0.6,-71.02547156,-32.82884349
1980-2000,SHAC_219,5420006,FUNDO SANTA ADRIANA,6.247231554872442e-5,0.02280239517528441,3.5762786865234375e-7,1,18,20,0.9,-70.82913475,-32.77221762
1980-2000,SHAC_219,5420007,HIJUELA PRINCIPAL,1.6070402027931898e-4,0.05865696740195143,6.866455078125e-5,1,18,20,0.9,-70.80895258,-32.75661954
1980-2000,SHAC_220,5423014,FUNDO FLORENCE,2.0284584862246437e-4,0.07403873474719949,1.8715858459472656e-5,1,18,20,0.9,-71.1212261,-32.83946724
1980-2000,SHAC_220,5423015,RABUCO (1),4.138123922659821e-4,0.15104152317708347,0.016430139541625977,1,12,20,0.6,-71.10740834,-32.8731217
1980-2000,SHAC_220,5423016,PARCELA 5,4.637060638487602e-5,0.016925271330479746,0.32164597511291504,0,18,20,0.9,-71.20547884,-32.79716832
1980-2000,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),2.2667193804306708e-5,0.008273525738571949,0.0020384788513183594,1,18,20,0.9,-71.14548902,-32.82405655
1980-2000,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,8.51063889333189e-5,0.031063831960661398,0,1,18,20,0.9,-71.05552522,-32.81523187
1980-2000,SHAC_220,5423019,POZO RABUCO (2),2.749421164904274e-5,0.0100353872519006,0.006801724433898926,1,18,20,0.9,-71.11569622,-32.86077133
1980-2000,SHAC_220,5423020,FUNDO ESPERANZA,-1.2965586775106074e-4,-0.04732439172913717,0.002426933264359832,1,16,20,0.8,-71.10214426,-32.85383952
