periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,años_totales,percent,lon,lat
1982-2022,Verano,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.06874999399999998,1.3470649719238281e-5,1,31,41,0.7560975609756098,-71.4098042,-32.9228445
1982-2022,Otoño,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.10000001200000004,1.33514404296875e-5,1,33,41,0.8048780487804879,-71.4098042,-32.9228445
1982-2022,Invierno,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.0875416719875,5.189180374145508e-4,1,32,41,0.7804878048780488,-71.4098042,-32.9228445
1982-2022,Primavera,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.07563888561111111,3.5762786865234375e-7,1,33,41,0.8048780487804879,-71.4098042,-32.9228445
1982-2022,Verano,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.06769230730769232,1.2755393981933594e-5,1,26,41,0.6341463414634146,-71.4244657,-32.9257078
1982-2022,Otoño,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.0861041116657825,7.140636444091797e-5,1,25,41,0.6097560975609756,-71.4244657,-32.9257078
1982-2022,Invierno,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.06604838371774194,0.00926363468170166,1,26,41,0.6341463414634146,-71.4244657,-32.9257078
1982-2022,Primavera,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),0.06704546106818182,1.1920928955078125e-7,1,26,41,0.6341463414634146,-71.4244657,-32.9257078
1982-2022,Verano,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.1456038735096618,0,1,37,41,0.9024390243902439,-71.4389072,-32.931432
1982-2022,Otoño,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.1470726464309117,0,1,37,41,0.9024390243902439,-71.4389072,-32.931432
1982-2022,Invierno,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.13821428376785713,0,1,39,41,0.9512195121951219,-71.4389072,-32.931432
1982-2022,Primavera,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.12266666094166669,0,1,38,41,0.926829268292683,-71.4389072,-32.931432
1982-2022,Verano,SHAC_216,5426019,LAJARILLAS,0.10192308057692309,0.06354320049285889,0,19,41,0.4634146341463415,-71.4663006,-32.9236985
1982-2022,Otoño,SHAC_216,5426019,LAJARILLAS,0.1582575693257576,0.009455323219299316,1,17,41,0.4146341463414634,-71.4663006,-32.9236985
1982-2022,Invierno,SHAC_216,5426019,LAJARILLAS,0.14574174924175826,0.004479050636291504,1,17,41,0.4146341463414634,-71.4663006,-32.9236985
