estacion,shac,codigo,nombre,lon,lat
Invierno,216,5426012,ASENTAMIENTO LA VICTORIA (1),-71.4098042,-32.9228445
Invierno,216,5426017,ASENTAMIENTO LA VICTORIA (2),-71.4244657,-32.9257078
Invierno,216,5426018,ASENTAMIENTO LA VICTORIA (3),-71.4389072,-32.931432
Invierno,216,5426021,TABOLANGO (1),-71.3617647,-32.9272066
Invierno,216,5428005,CON CON,-71.473986,-32.9259361
Invierno,216,5428010,LAJARILLAS,-71.4655059,-32.9254996
Invierno,217,5410011,FUNDO LAS PENAS,-70.6532793,-32.7970658
Invierno,217,5410014,MISION DE MARIA,-70.6808656,-32.8040671
Invierno,217,5410015,FUNDO LAS VIÑAS,-70.6726185,-32.7936613
Invierno,217,5410018,FUNDO LA QUIMERA,-70.6808776,-32.8041391
Invierno,217,5410020,FUNDO LOS CASTAÑOS,-70.6955378,-32.7623636
Invierno,217,5414007,EL ASIENTO,-70.7321111,-32.7355097
Invierno,217,5415008,PERFIL SAN FELIPE,-70.7339299,-32.7363052
Invierno,218,5420009,FUNDO SAN ROQUE,-70.8621518,-32.7926544
Invierno,219,5420006,FUNDO SANTA ADRIANA,-70.8291347,-32.7722176
Invierno,219,5420007,HIJUELA PRINCIPAL,-70.8089525,-32.7566195
Invierno,220,5423014,FUNDO FLORENCE,-71.1212261,-32.8394672
Invierno,220,5423015,RABUCO (1),-71.1074083,-32.8731216
Invierno,220,5423018,ASENTAMIENTO LA SOMBRA,-71.0555252,-32.8152318
Invierno,220,5423019,POZO RABUCO (2),-71.1156962,-32.8607713
Invierno,220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),-71.1549188,-32.8138394
Invierno,220,5424007,ASENTAMIENTO NOGALES,-71.1991017,-32.7167592
Invierno,220,5424008,ASENTAMIENTO EL MELON,-71.1969396,-32.6916638
Invierno,220,5424010,FUNDO EL CARMEN,-71.1717675,-32.7618931
Invierno,220,5424012,CONCHALI,-71.1566256,-32.7943131
Invierno,221,5425005,CALLE SANTA MARIA,-71.2288218,-32.8366135
Invierno,221,5426005,FUNDO ESMERALDA (1),-71.2565717,-32.9175004
Invierno,221,5426006,FUNDO ESMERALDA (2),-71.2565201,-32.9175735
Invierno,221,5426007,FUNDO EL PROGRESO,-71.228653,-32.797362
Invierno,221,5426009,ASENTAMIENTO EL CAJON,-71.2684009,-32.938198
Invierno,221,5426011,FUNDO ESMERALDA (3),-71.3104978,-32.9071727
Invierno,221,5426014,ASENTAMIENTO LAS PATAGUAS,-71.2039102,-32.8741271
Invierno,221,5426016,SAN ISIDRO PUENTE,-71.2469277,-32.9018393
Invierno,221,5426022,ASENTAMIENTO LAS PATAGUAS,-71.2209505,-32.906064
Invierno,222,5427011,FUNDO EL ROCIO,-71.241915,-33.0267508
Invierno,223,5422003,A.P. LLAY LLAY (1),-70.9601793,-32.8436094
Invierno,224,5414008,PERFIL PUTAENDO (1),-70.7507077,-32.6911302
