estacion,shac,codigo,nombre,lon,lat
Otoño,216,5426012,ASENTAMIENTO LA VICTORIA (1),-71.4098042,-32.9228445
Otoño,216,5426017,ASENTAMIENTO LA VICTORIA (2),-71.4244657,-32.9257078
Otoño,216,5426018,ASENTAMIENTO LA VICTORIA (3),-71.4389072,-32.931432
Otoño,216,5426021,TABOLANGO (1),-71.3617647,-32.9272066
Otoño,216,5428005,CON CON,-71.473986,-32.9259361
Otoño,216,5428010,LAJARILLAS,-71.4655059,-32.9254996
Otoño,217,5410014,MISION DE MARIA,-70.6808656,-32.8040671
Otoño,217,5410015,FUNDO LAS VIÑAS,-70.6726185,-32.7936613
Otoño,217,5410017,FUNDO LAS MERCEDES,-70.6429418,-32.846347
Otoño,217,5410018,FUNDO LA QUIMERA,-70.6808776,-32.8041391
Otoño,217,5410020,FUNDO LOS CASTAÑOS,-70.6955378,-32.7623636
Otoño,217,5414007,EL ASIENTO,-70.7321111,-32.7355097
Otoño,217,5415008,PERFIL SAN FELIPE,-70.7339299,-32.7363052
Otoño,218,5420009,FUNDO SAN ROQUE,-70.8621518,-32.7926544
Otoño,219,5420006,FUNDO SANTA ADRIANA,-70.8291347,-32.7722176
Otoño,219,5420007,HIJUELA PRINCIPAL,-70.8089525,-32.7566195
Otoño,220,5423014,FUNDO FLORENCE,-71.1212261,-32.8394672
Otoño,220,5423015,RABUCO (1),-71.1074083,-32.8731216
Otoño,220,5423018,ASENTAMIENTO LA SOMBRA,-71.0555252,-32.8152318
Otoño,220,5423019,POZO RABUCO (2),-71.1156962,-32.8607713
Otoño,220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),-71.1549188,-32.8138394
Otoño,220,5424007,ASENTAMIENTO NOGALES,-71.1991017,-32.7167592
Otoño,220,5424008,ASENTAMIENTO EL MELON,-71.1969396,-32.6916638
Otoño,220,5424010,FUNDO EL CARMEN,-71.1717675,-32.7618931
Otoño,220,5424012,CONCHALI,-71.1566256,-32.7943131
Otoño,221,5425005,CALLE SANTA MARIA,-71.2288218,-32.8366135
Otoño,221,5426005,FUNDO ESMERALDA (1),-71.2565717,-32.9175004
Otoño,221,5426006,FUNDO ESMERALDA (2),-71.2565201,-32.9175735
Otoño,221,5426007,FUNDO EL PROGRESO,-71.228653,-32.797362
Otoño,221,5426009,ASENTAMIENTO EL CAJON,-71.2684009,-32.938198
Otoño,221,5426011,FUNDO ESMERALDA (3),-71.3104978,-32.9071727
Otoño,221,5426014,ASENTAMIENTO LAS PATAGUAS,-71.2039102,-32.8741271
Otoño,221,5426016,SAN ISIDRO PUENTE,-71.2469277,-32.9018393
Otoño,221,5426022,ASENTAMIENTO LAS PATAGUAS,-71.2209505,-32.906064
Otoño,223,5422003,A.P. LLAY LLAY (1),-70.9601793,-32.8436094
Otoño,224,5414008,PERFIL PUTAENDO (1),-70.7507077,-32.6911302
